run_id,model_hash,seed,engine,replication,section,dataset,details_truncated,detail_total,detail_retained,id,order,route,source,destination,iid,parts,departure,arrival,received,quantity
m3-threshold,570d1aeb447778fd90fd4dcc3c4529a931e66967a2ae4eed9597a945a0182feb,20260916,0.10.0,1,supply,shipments,False,11,11,S1,O1,REGION_BASE,REGION,BASE,POWER,"[""POWER#1""]",0,0.5,True,1
m3-threshold,570d1aeb447778fd90fd4dcc3c4529a931e66967a2ae4eed9597a945a0182feb,20260916,0.10.0,1,supply,shipments,False,11,11,S2,O1,CENTER_BASE,CENTER,BASE,POWER,"[""POWER#2""]",0,1.5,True,1
m3-threshold,570d1aeb447778fd90fd4dcc3c4529a931e66967a2ae4eed9597a945a0182feb,20260916,0.10.0,1,supply,shipments,False,11,11,S3,O2,CENTER_REGION,CENTER,REGION,POWER,"[""POWER#3"", ""POWER#4""]",0,1.0,True,2
m3-threshold,570d1aeb447778fd90fd4dcc3c4529a931e66967a2ae4eed9597a945a0182feb,20260916,0.10.0,1,supply,shipments,False,11,11,S4,O3,REGION_BASE,REGION,BASE,POWER,"[""POWER#3""]",16.700000000000003,17.200000000000003,True,1
m3-threshold,570d1aeb447778fd90fd4dcc3c4529a931e66967a2ae4eed9597a945a0182feb,20260916,0.10.0,1,supply,shipments,False,11,11,S5,O4,CENTER_REGION,CENTER,REGION,POWER,"[""POWER#5""]",16.700000000000003,17.700000000000003,True,1
m3-threshold,570d1aeb447778fd90fd4dcc3c4529a931e66967a2ae4eed9597a945a0182feb,20260916,0.10.0,1,supply,shipments,False,11,11,S6,O5,REGION_BASE,REGION,BASE,POWER,"[""POWER#4""]",16.800000000000004,17.300000000000004,True,1
m3-threshold,570d1aeb447778fd90fd4dcc3c4529a931e66967a2ae4eed9597a945a0182feb,20260916,0.10.0,1,supply,shipments,False,11,11,S7,O6,CENTER_REGION,CENTER,REGION,POWER,"[""POWER#6""]",16.800000000000004,17.800000000000004,True,1
m3-threshold,570d1aeb447778fd90fd4dcc3c4529a931e66967a2ae4eed9597a945a0182feb,20260916,0.10.0,1,supply,shipments,False,11,11,S8,O7,REGION_BASE,REGION,BASE,POWER,"[""POWER#5""]",60.7,61.2,True,1
m3-threshold,570d1aeb447778fd90fd4dcc3c4529a931e66967a2ae4eed9597a945a0182feb,20260916,0.10.0,1,supply,shipments,False,11,11,S9,O8,CENTER_REGION,CENTER,REGION,POWER,"[""POWER#7""]",60.7,61.7,True,1
m3-threshold,570d1aeb447778fd90fd4dcc3c4529a931e66967a2ae4eed9597a945a0182feb,20260916,0.10.0,1,supply,shipments,False,11,11,S10,O9,REGION_BASE,REGION,BASE,POWER,"[""POWER#6""]",60.800000000000004,61.300000000000004,True,1
