replication,success_rate,completed,cancelled,failures,resource_utilization,requested_jobs,completed_jobs,assumed_jobs,waiting_jobs,working_jobs,wait_aircraft_hours,work_aircraft_hours,wait_resource_aircraft_hours,wait_shift_aircraft_hours,daily_assumed_ready_aircraft
1,1.0,9,0,0,0.125,18,18,0,0,0,4.5,9.0,4.5,0.0,36
2,1.0,9,0,0,0.125,18,18,0,0,0,4.5,9.0,4.5,0.0,36
3,0.8888888888888888,8,0,1,0.125,18,18,0,0,0,4.903656856464821,9.0,4.903656856464821,0.0,36
4,1.0,9,0,0,0.125,18,18,0,0,0,4.5,9.0,4.5,0.0,36
5,0.8888888888888888,8,0,1,0.125,18,18,0,0,0,4.004120844233192,9.0,4.004120844233192,0.0,36
6,0.8888888888888888,8,0,1,0.125,18,18,0,0,0,4.0,9.0,4.0,0.0,36
7,1.0,9,0,0,0.125,18,18,0,0,0,4.5,9.0,4.5,0.0,36
8,1.0,9,0,0,0.125,18,18,0,0,0,4.5,9.0,4.5,0.0,36
9,0.8888888888888888,8,0,1,0.125,18,18,0,0,0,4.0,9.0,4.0,0.0,36
10,1.0,9,0,0,0.125,18,18,0,0,0,4.5,9.0,4.5,0.0,36
11,0.8888888888888888,8,0,1,0.125,18,18,0,0,0,4.223665777415654,9.0,4.223665777415654,0.0,36
12,0.8888888888888888,8,0,1,0.125,18,18,0,0,0,4.0,9.0,4.0,0.0,36
13,1.0,9,0,0,0.125,18,18,0,0,0,4.5,9.0,4.5,0.0,36
14,1.0,9,0,0,0.125,18,18,0,0,0,4.5,9.0,4.5,0.0,36
15,1.0,9,0,0,0.125,18,18,0,0,0,4.5,9.0,4.5,0.0,36
16,1.0,9,0,0,0.125,18,18,0,0,0,4.5,9.0,4.5,0.0,36
17,1.0,9,0,0,0.125,18,18,0,0,0,4.5,9.0,4.5,0.0,36
18,1.0,9,0,0,0.125,18,18,0,0,0,4.5,9.0,4.5,0.0,36
19,0.8888888888888888,8,0,1,0.125,18,18,0,0,0,4.0,9.0,4.0,0.0,36
20,1.0,9,0,0,0.125,18,18,0,0,0,4.5,9.0,4.5,0.0,36
21,1.0,9,0,0,0.125,18,18,0,0,0,4.5,9.0,4.5,0.0,36
22,0.8888888888888888,8,0,1,0.125,18,18,0,0,0,4.0,9.0,4.0,0.0,36
23,1.0,9,0,0,0.125,18,18,0,0,0,4.5,9.0,4.5,0.0,36
24,0.8888888888888888,8,0,1,0.125,18,18,0,0,0,4.0,9.0,4.0,0.0,36
25,1.0,9,0,0,0.125,18,18,0,0,0,4.5,9.0,4.5,0.0,36
26,0.7777777777777778,7,0,2,0.125,18,18,0,0,0,3.5,9.0,3.5,0.0,36
27,0.8888888888888888,8,0,1,0.125,18,18,0,0,0,4.0,9.0,4.0,0.0,36
28,1.0,9,0,0,0.125,18,18,0,0,0,4.5,9.0,4.5,0.0,36
29,1.0,9,0,0,0.125,18,18,0,0,0,4.5,9.0,4.5,0.0,36
30,1.0,9,0,0,0.125,18,18,0,0,0,4.5,9.0,4.5,0.0,36
31,1.0,8,0,1,0.1250000000000001,18,18,0,0,0,4.9203090781182794,9.000000000000007,4.9203090781182794,0.0,36
32,1.0,8,0,1,0.125,18,18,0,0,0,4.0,9.0,4.0,0.0,36
33,1.0,9,0,0,0.125,18,18,0,0,0,4.5,9.0,4.5,0.0,36
34,1.0,9,0,0,0.125,18,18,0,0,0,4.5,9.0,4.5,0.0,36
35,0.8888888888888888,8,0,1,0.125,18,18,0,0,0,4.205211115573661,9.0,4.205211115573661,0.0,36
36,0.7777777777777778,7,0,2,0.125,18,18,0,0,0,3.633451433022728,9.0,3.633451433022728,0.0,36
37,0.8888888888888888,8,0,1,0.125,18,18,0,0,0,4.0,9.0,4.0,0.0,36
38,1.0,9,0,0,0.125,18,18,0,0,0,4.5,9.0,4.5,0.0,36
39,1.0,9,0,0,0.125,18,18,0,0,0,4.5,9.0,4.5,0.0,36
40,1.0,9,0,0,0.125,18,18,0,0,0,4.5,9.0,4.5,0.0,36
41,0.8888888888888888,8,0,1,0.125,18,18,0,0,0,4.0,9.0,4.0,0.0,36
42,1.0,9,0,0,0.125,18,18,0,0,0,4.5,9.0,4.5,0.0,36
43,1.0,9,0,0,0.125,18,18,0,0,0,4.5,9.0,4.5,0.0,36
44,1.0,9,0,0,0.125,18,18,0,0,0,4.5,9.0,4.5,0.0,36
45,0.8888888888888888,8,0,1,0.125,18,18,0,0,0,4.0,9.0,4.0,0.0,36
