replication,availability,failures,effective_supply_aircraft_hours,fulfillment,requested,started,completed,aborted,cancelled,aircraft_sorties,completed_aircraft_sorties,preparation_aircraft_hours,ready_aircraft_hours,all_completed,out_aircraft_hours,on_station_aircraft_hours,return_aircraft_hours,abort_return_aircraft_hours,successful,requested_aircraft_sorties,successful_aircraft_sorties,started_rate,success_rate,completion_rate,all_successful
1,1.0,0,54.0,1.0,9,9,9,0,0,18,18,15.0,185.0,1,9.0,36.0,9.0,0.0,9,18,18,1.0,1.0,1.0,1
2,1.0,0,54.0,1.0,9,9,9,0,0,18,18,15.0,185.0,1,9.0,36.0,9.0,0.0,9,18,18,1.0,1.0,1.0,1
3,0.9887692140889528,1,50.08210362423401,0.9274463634117409,9,9,8,1,0,18,16,15.0,185.18343003338435,0,9.0,33.08210362423401,9.0,1.0,8,18,16,1.0,0.8888888888888888,0.8888888888888888,0
4,1.0,0,54.0,1.0,9,9,9,0,0,18,18,15.0,185.0,1,9.0,36.0,9.0,0.0,9,18,18,1.0,1.0,1.0,1
5,0.9965420862646985,1,52.35264777662344,0.9694934773448786,9,9,8,1,0,18,16,15.0,185.15147306760974,0,9.0,35.35264777662344,9.0,1.0,8,18,16,1.0,0.8888888888888888,0.8888888888888888,0
6,0.9817102734278007,3,46.245438643642885,0.8563970119193127,9,9,6,3,0,18,12,15.0,185.98712010356377,0,9.0,31.24543864364288,9.0,3.0,6,18,12,1.0,0.6666666666666666,0.6666666666666666,0
7,1.0,0,54.0,1.0,9,9,9,0,0,18,18,15.0,185.0,1,9.0,36.0,9.0,0.0,9,18,18,1.0,1.0,1.0,1
8,1.0,0,54.0,1.0,9,9,9,0,0,18,18,15.0,185.0,1,9.0,36.0,9.0,0.0,9,18,18,1.0,1.0,1.0,1
9,1.0,0,54.0,1.0,9,9,9,0,0,18,18,15.0,185.0,1,9.0,36.0,9.0,0.0,9,18,18,1.0,1.0,1.0,1
10,0.9972399481497265,1,49.089742060054945,0.9090692974084249,9,9,8,1,0,18,16,15.0,188.6153630070663,0,9.0,32.089742060054945,9.0,1.0,8,18,16,1.0,0.8888888888888888,0.8888888888888888,0
11,0.9964827946042598,1,48.84225271240743,0.9044861613408783,9,9,8,1,0,18,16,15.0,188.72366577741565,0,8.84225271240743,32.0,8.84225271240743,0.8422527124074293,8,18,16,1.0,0.8888888888888888,0.8888888888888888,0
12,0.9886753133827015,1,52.68584283876463,0.9756637562734191,9,9,8,1,0,18,16,15.0,182.55264741545344,0,9.0,35.68584283876463,9.0,1.0,8,18,16,1.0,0.8888888888888888,0.8888888888888888,0
13,1.0,0,54.0,1.0,9,9,9,0,0,18,18,15.0,185.0,1,9.0,36.0,9.0,0.0,9,18,18,1.0,1.0,1.0,1
